,,Others Stakeholder Perspective,Temporal Contrast,Vague or Ambiguous Terms for General Public?,Overgeneralizing statement ,Implicit Existence,Bias and Subjectivity,"Questionable Cause-Effect Relationship? (Consequence farfetched?, etc)",Causality Flipped?,Lacks Evidence?,"Quality of Evidence Provided
The provided evidence is weak.",complete,comments
,,What would other stakeholders with an opposing stance say about ___________?,What might happen if _________ changes in time?,"Do you think the general public would understand what you mean by _________?

","
Why do you think ________________ is true in all situations?",Are you implicitly assuming that ___________ is always the case?,"Are you assuming __________ because of personal experience or preference?
Opinion","What makes you think ____________ is the main cause, rather than just a coincidence?","Could it be that _____ is actually the result, not the cause?","Could you point to any data or examples that back up __________?
[Component: claim]",What other kinds of evidence might be stronger than _____?,,
,,"America has the best educational system, including MIT.",Electric cars are environmentally friendly,2nd wave feminist,"""1. no woman will love me for me
2. I am not considered unique and therefore considered boring.""","Most people agree that stricter gun laws make society safer.
Presupposition: That “most people” share a uniform view on safety and gun control.",I knew democracy are corrupted; I think communist is better.,"switzerland consumes chocolate. hence, most nobel prize winners",I studied because I passed the exam,Smoking is bad!,Smoking is bad. It smells!,,
source_article,," Find something that Others Stakeholder might disagree by different viewpoint like occupation or other demographic background.
","Look for something the author expresses an opinion about—specifically, something that could change over time (e.g., “Electric cars are bad because in the future, batteries might harm the environment”). If no such opinion is given, identify a concept that could potentially change over time (e.g., the weak Japanese yen).
","Find a phrase that might be difficult for the general public to understand, or that is subjective or requires more context to interpret."," Find a phrase where a small sample is used to make an overly broad conclusion, or where there is an explicit generalization.","Find a phrase where the author assumes something to always be true or makes an implicit claim that is not explicitly stated but could be interpreted.
","Find a statement that appears biased due to personal opinion or preference, or one that could be interpreted subjectively.",Find a phrase in which the author believes a mere coincidence is the actual cause for an effect.,Find a phrase in which the cause is actually the effect.,"Find a claim that is made without any supporting evidence.
","Find a claim that is supported by weak evidence—for example, if the evidence is unrelated or irrelevant. Such claims should be considered weak arguments.
",,
The science and data strongly support that our planet ’ s ecosystems are thriving and that humanity is benefiting from modestly increasing temperature and an increase in carbon dioxide .,faulty generalization,our planet ’ s ecosystems are thriving,our planet ’ s ecosystems are thriving,The science and data,our planet ’ s ecosystems are thriving and that humanity is benefiting from modestly increasing temperature and an increase in carbon dioxide,our planet ’ s ecosystems are thriving and that humanity is benefiting from modestly increasing temperature and an increase in carbon dioxide,our planet ’ s ecosystems are thriving and that humanity is benefiting from modestly increasing temperature and an increase in carbon dioxide,,,,The science and data,Yes,
An expedition designed to gather evidence of global warming and “ climate change ” in the Arctic was canceled last month after a humiliating discovery was made :,intentional,,,humiliating discovery,,,,humiliating discovery,,An expedition designed to gather evidence of global warming and “ climate change ” in the Arctic was canceled last month after a humiliating discovery was made :,,Yes,
"As the problem worsens , experts are warning that national security is on the line . Naval bases , in particular , are threatened ; they can hardly be moved away from the ocean , yet much of their land is at risk of disappearing within this century .",fallacy of relevance,national security is on the line,"Naval bases , in particular , are threatened",the problem,,national security is on the line,much of their land is at risk of disappearing within this century .,,,,experts,Yes,
"This summer , for instance , a heat wave in Europe penetrated the Arctic , pushing temperatures into the 80s across much of the Far North and , according to the Belgian climate scientist Xavier Fettweis , melting some 40 billion tons of Greenland ’ s ice sheet .",intentional,"a heat wave in Europe penetrated the Arctic , pushing temperatures into the 80s across much of the Far North and , according to the Belgian climate scientist Xavier Fettweis , melting some 40 billion tons of Greenland ’ s ice sheet .",,This summer,,"a heat wave in Europe penetrated the Arctic , pushing temperatures into the 80s ",,a heat wave in Europe penetrated the Arctic,,,,Yes,
"Despite hundreds of billions of dollars of expenditure during the past few decades , it still has not been shown that human emissions of carbon dioxide drive ­global warming .",intentional, it still has not been shown that human emissions of carbon dioxide drive ­global warming ., it still has not been shown that human emissions of carbon dioxide drive ­global warming .,expenditure,it still has not been shown that human emissions of carbon dioxide drive ­global warming .,,it still has not been shown that human emissions of carbon dioxide drive ­global warming .,,,it still has not been shown that human emissions of carbon dioxide drive global warming,,Yes,
"No matter what humans do , temperature trends go up , and then down ; glaciers expand and then recede ; sea levels rise and then fall , explains Will Happer , professor emeritus of physics at Princeton .",intentional,"No matter what humans do , temperature trends go up , and then down","No matter what humans do , temperature trends go up , and then down",what humans do,"No matter what humans do , temperature trends go up , and then down ","No matter what humans do , temperature trends go up , and then down ","No matter what humans do , temperature trends go up , and then down ",,,,"Will Happer , professor emeritus of physics at Princeton .",Yes,
A harrowing scenario analysis of how human civilization might collapse in coming decades due to climate change has been endorsed by a former Australian defense chief and senior royal navy commander .,faulty generalization,how human civilization might collapse in coming decades due to climate change,climate change,former Australian defense chief and senior royal navy commander,human civilization might collapse in coming decades due to climate change,human civilization might collapse in coming decades due to climate change,,climate change,,,endorsed by a former Australian defense chief and senior royal navy commander,Yes,
