instruction,input,output
Classify the argument and identify relevant spans.,It would be cringe because trump's policies (and other things) are extremely at odds with theirs. But fair enough. If you don't think it would be cringe for trump I can understand why it wouldn't be cringe for biden either.,"Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: [""trump's policies (and other things) are extremely at odds with theirs"", ""trump's policies""]"
Classify the argument and identify relevant spans.,"Just to let you know, the power of the judiciary is not being weakened at all. They literally just stopped one of his EOs and the temp block was upheld. I think you are overestimating the power Trump is wielding over the judiciary due to some zealous reporting that has been going on.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['overestimating the power Trump is wielding over the judiciary', 'power of the judiciary']"
Classify the argument and identify relevant spans.,"I'm pro choice. I don't support abortion, but I support a woman's right to do as she pleases with her body. It's not my place to decide. With this said, a common argument I see against pro lifers is that it is sexist to outlaw abortions, because it's wanting control of a woman's body.","Classification: ['Other Stakeholder Perspective']
Span: [""support a woman's right to do as she pleases with her body.""]"
Classify the argument and identify relevant spans.,"The purpose of an election is to elect. It is not to register feelings, reasons, support, or opposition. Therefore, the only metric needed in elections is a tally that allows winners to be selected. There is already the opportunity to vote for the candidates you choose.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['It is not to register feelings, reasons, support, or opposition.', 'Therefore, the only metric needed in elections is a tally that allows winners to be selected.']"
Classify the argument and identify relevant spans.,"From elementary school all the way to now, I have always done poor academically. I was always wondering if I have an intellectual disorder since I just couldn't grasp concepts as well as the other students.","Classification: ['Other Stakeholder Perspective']
Span: [""have an intellectual disorder since I just couldn't grasp concepts as well as the other students.""]"
Classify the argument and identify relevant spans.,"I think activists are annoying, no matter what cause they stand for. It's because we demand change and change is uncomfortable. But I see an injustice, and I still speak up about it, even if that makes me annoying.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['activists are annoying', 'activists are annoying']"
Classify the argument and identify relevant spans.,"You act like my only reason for disliking them movie is because it didn't surprise me, but then you precede question one of my other reasons. Also I don't care what does or doesn't surprise you. We're two different people. The shootouts reminded me almost every other shootout I've seen in film.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: [""The shootouts reminded me almost every other shootout I've seen in film."", ""disliking them movie is because it didn't surprise me,""]"
Classify the argument and identify relevant spans.,"I'm not saying it's not a great measure of upper body strength but it certainly is not a good overall standard. I suppose I could have worded that better, since my implied meaning was overall strength, not just upper body.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['it certainly is not a good overall standard', 'it certainly is not a good overall standard']"
Classify the argument and identify relevant spans.,I was reading somewhere on Relationships about a problem with a potential wedding guest because they were a very 'fussy eater' and how they were thinking to un-invite this person because of it. A lot of people were defending this person saying they too are picky eaters and how horrible it is.,"Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['how horrible it is', ""they were a very 'fussy eater'""]"
Classify the argument and identify relevant spans.,"Do you genuinely believe the movement against FGM is being held back in any serious capacity because men compare the practice to circumcision? Yes. Anyone who practices religious circumcision will be staunchly against a ban on it. By contrast, those same people could be convinced to be against FGM.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['Anyone who practices religious circumcision will be staunchly against a ban on it.', 'Anyone who practices religious circumcision will be staunchly against a ban on it.']"
Classify the argument and identify relevant spans.,"That's exactly what I'm saying. Not all people who want to drink alone are alcoholics, but all alcoholics will need to drink alone. This is unfortunate for those of us who can responsibly get drunk alone, but because alcoholism is such a serious problem, I think it's worth the tradeoff.","Classification: ['Other Stakeholder Perspective']
Span: ['but all alcoholics will need to drink alone']"
Classify the argument and identify relevant spans.,"I know what you're thinking - ""this isn't a controversial or unpopular opinion at all!"" I'm posting here because every SINGLE person I've discussed this with irl has vehemently disagreed with me and for reasons I have a hard time understanding.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['""this isn\'t a controversial or unpopular opinion at all!""', ""every SINGLE person I've discussed this with irl has vehemently disagreed with me""]"
Classify the argument and identify relevant spans.,"I believe America is the best country in the world because no country in the world is perfect, however America provides the avenues and rights for one to make his or her voice heard and incite change regardless of society's consensus. Another point is that this is really the land of opportunity.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['America is the best country', 'America is the best country']"
Classify the argument and identify relevant spans.,I believe that ACAB just like I believe that all Nazi guards are bastards. Good cops don't exist because you can't fulfill your orders as a cop and not be a bastard. (e.g. Arresting for possession should not be thing).,"Classification: ['Other Stakeholder Perspective']
Span: ['all Nazi guards are bastards.']"
Classify the argument and identify relevant spans.,"Because the people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs. Even when there are concrete, objective differences, acting upon those differences blows them way out of proportion.","Classification: ['Other Stakeholder Perspective']
Span: ['people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs.']"
Classify the argument and identify relevant spans.,"Because it's a term used too vaguely, it creates a spiral of more violence and wait a minute? Don't you believe in due process? Are you advocating vigilantism? It's not illegal to be a Nazi. You should still punch them for being bad people.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['You should still punch them for being bad people.', ""It's not illegal to be a Nazi.""]"
Classify the argument and identify relevant spans.,The problem with this type of thinking is that it means that nobody is responsible for anything. Everyone is always acting in accordance with the electrochemical machinery of their brain. Anyone doing ANYTHING evil would just be doing it because of how their brain is wired.,"Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['nobody is responsible for anything', 'nobody is responsible for anything']"
Classify the argument and identify relevant spans.,"Because you have to earn it. If white female privilege is far greater than white male privilege, why do White women earn 81.1% as much as their male counterparts? The gender pay gap is a myth.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['The gender pay gap is a myth.', 'women earn 81.1%']"
Classify the argument and identify relevant spans.,I mean that saying that Starbucks is a racist organization based on the Philly encounter is incorrect. Starbucks does not tell people to throw out customers due to their race.,"Classification: ['Other Stakeholder Perspective']
Span: ['Starbucks does not tell people to throw out customers due to their race.']"
Classify the argument and identify relevant spans.,"This isn't some policy where every baby with a severe mental issue MUST be euthanized. This is giving the option to parents to euthanize their baby. You can't extend this to euthanizing adults, because there's no comparable circumstance where an individual has ""control"" over an adult.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['individual has ""control"" over an adult.', ""This isn't some policy where every baby with a severe mental issue MUST be euthanized.""]"
Classify the argument and identify relevant spans.,"Because it more expensive to make it here than it is in Canada. We can't make all the stuff ourselves, so we buy it from Canada. Well, now that got more expensive. But now Can. metal is still cheaper than for what we can make it domestically.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['more expensive to make it here than it is in Canada', 'more expensive to make it here than it is in Canada']"
Classify the argument and identify relevant spans.,"No, you're not supporting anyone else who worked on the movie. That's the point. It discourages other people in the industry from working with that person. If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.","Classification: ['Other Stakeholder Perspective']
Span: [""If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.""]"
Classify the argument and identify relevant spans.,"there are rules against dirty tactics, but they are often missed due to the fast paced nature of the game. in a perfect world, yeah it would be great if it just took rules, but it doesn't. In football, basketball, baseball, etc...","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['missed due to the fast paced nature of the game', ""ould be great if it just took rules, but it doesn't.""]"
Classify the argument and identify relevant spans.,"I think it's incredibly short sighted of people to not be frightened. We are all going to die. Some sooner, some later - But ultimately the difference is negligible. It's going to happen. I believe we purposefully block the thought of death from our minds because to not would be debilitating.","Classification: ['Other Stakeholder Perspective']
Span: [""I think it's incredibly short sighted of people to not be frightened.""]"
Classify the argument and identify relevant spans.,Eh if we are going to extend it to animals why not all living things. Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.,"Classification: ['Other Stakeholder Perspective']
Span: ['Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.']"
Classify the argument and identify relevant spans.,Animals are living beings able to feel suffering just like humans. Because of this humans and animals are equal and should be treated the same.,"Classification: ['Other Stakeholder Perspective']
Span: ['Because of this humans and animals are equal and should be treated the same.']"
Classify the argument and identify relevant spans.,"I feel bestiality is worse than killing animals for the same reason I believe death penalty is a lesser punishment than a life without parole. Death, as long as it is quick and relatively painless is better than a torturous life because the amount of time.","Classification: ['Other Stakeholder Perspective', 'Temporal Contrast']
Span: ['bestiality is worse than killing animal', 'bestiality is worse than killing animal']"
Classify the argument and identify relevant spans.,"Therefore it makes no sense for you to be against hurting animals. You've already accepted that we can kill them, why not torture them as well? This is a huge leap in logic.","Classification: ['Other Stakeholder Perspective']
Span: ['why not torture them as well? This is a huge leap in logic.']"
Classify the argument and identify relevant spans.,"There isn't a political party that represents them because they don't march down main st, not the other way around. All the other groups OP is complaining about do.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['All the other groups OP is complaining about do.', ""political party that represents them because they don't march down main""]"
Classify the argument and identify relevant spans.,"The issue is that the pregnancy is, due to biological constraints, forced upon the woman. This gives her the sole right to an abortion. Consider what happens if there's a surrogacy.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['biological constraints,', 'The issue is that the pregnancy is, due to biological constraints, forced upon the woman']"
Classify the argument and identify relevant spans.,"I'm live in America if that makes any difference to what the response might be. The reason I believe what I said above is: Because of your basic rights as an American, you are able to vote in elections and help make a difference for who you want to represent you.","Classification: ['Overgeneralized Statement']
Span: ['help make a difference for who you want to represent you.']"
Classify the argument and identify relevant spans.,"Certainly breathing alone can’t be bioterrorism, but I would happily argue throwing a big party during a pandemic is. The “because we have rights” argument doesn’t make sense to me.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['bioterrorism', 'but I would happily argue throwing a big party during a pandemic is']"
Classify the argument and identify relevant spans.,Third wave feminism is just too open and all-inclusive a movement and therefore so different from Second wave feminism that it's basically egalitarianism by another name. So just switch to egalitarianism and be honest about what you support.,"Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['Third wave feminism', 'Third wave feminism is just too open and all-inclusive a movement and therefore so different from']"
